시도,시군구,도로명,주소,유형,높이_cm,폭_cm,위도,경도,연속형여부,보차분리여부,밀집개수,경사도_도,충격점수,미터당감점
경상남도,창원시,삼계8길,경상남도 창원시 마산회원구 내서읍 삼계리 12,원호형,10.0,360.0,35.23335791472146,128.5013128205964,N,Y,2,4.76,0.0,0.0625
전남광주통합특별시,곡성군,오죽로,전남광주통합특별시 곡성군 오곡면 구성리 609,가상형,0.0,0.0,35.23352,127.28151,N,N,2,0.0,0.0,0.0
경상남도,김해시,동남로45번길,경상남도 김해시 대동면 초정리 424-16,가상형,0.0,0.0,35.2335256,128.9865801,N,N,2,0.0,0.0,0.0
전남광주통합특별시,곡성군,오죽로,전남광주통합특별시 곡성군 오곡면 구성리 389-1,원호형,10.0,360.0,35.23354,127.28142,N,N,2,0.0,0.0,0.0625
경상남도,진주시,불너머길,경상남도 진주시 집현면 장흥리 707-3,원호형,10.0,360.0,35.23355,128.10209,Y,Y,3,0.0,0.0,0.0625
경상남도,김해시,인제로51번길,경상남도 김해시 삼정동 666,원호형,10.0,360.0,35.2335533,128.8995558,N,N,2,0.0,0.0,0.0625
경상남도,김해시,함박로119번길,경상남도 김해시 외동 1294,가상형,0.0,0.0,35.2335816,128.8674897,N,Y,2,0.0,0.0,0.0
전남광주통합특별시,곡성군,산이재로,전남광주통합특별시 곡성군 겸면 운교리 460-6,원호형,10.0,360.0,35.23359,127.17141,N,N,2,0.95,0.0,0.0625
전남광주통합특별시,구례군,용방로,전남광주통합특별시 구례군 구례읍 사림리 311-1,가상형,0.0,0.0,35.233608,127.448014,N,N,2,3.44,0.0,0.0
경상남도,김해시,함박로,경상남도 김해시 외동 1294,가상형,0.0,0.0,35.233761,128.8704595,N,Y,2,0.0,0.0,0.0
경상남도,김해시,우암로,경상남도 김해시 외동 1278,가상형,0.0,0.0,35.2337773,128.8606322,N,Y,2,0.0,0.0,0.0
경상남도,김해시,대동로,경상남도 김해시 대동면 주중리 80-2,원호형,5.0,200.0,35.2337853,128.9473205,N,N,2,0.0,0.0,0.0312
전남광주통합특별시,영광군,군불로,영광군 군남면 도장리 213-2,원호형,10.0,360.0,35.233789,126.477373,Y,N,2,0.0,0.0,0.0625
전남광주통합특별시,영광군,남양길,전남광주통합특별시 영광군 군남면 양덕리 229-4,원호형,10.0,360.0,35.2338,126.4409,Y,N,2,0.0,0.0,0.0625
전남광주통합특별시,영광군,봉덕로,영광군 군남면 양덕리 1353-1,원호형,10.0,360.0,35.233814,126.439973,N,N,2,0.0,0.0,0.0625
경상남도,창원시,양덕동12길,경상남도 창원시 마산회원구 양덕동 42,원호형,10.0,360.0,35.2338584976,128.5884986364,N,Y,4,0.0,0.0,0.0625
경상남도,김해시,활천로36번길,경상남도 김해시 삼정동 240,원호형,9.0,360.0,35.2338915,128.8992479,N,N,2,0.0,0.0,0.0562
전남광주통합특별시,영광군,남양길,전남광주통합특별시 영광군 군남면 양덕리 1354-4,원호형,10.0,360.0,35.2339,126.4404,Y,N,2,0.0,0.0,0.0625
경상남도,김해시,내외로,경상남도 김해시 내동 1166,가상형,0.0,0.0,35.234015,128.8709321,N,Y,2,0.0,0.0,0.0
전남광주통합특별시,곡성군,오죽로,전남광주통합특별시 곡성군 오곡면 구성리 573,원호형,10.0,360.0,35.23406,127.28113,Y,N,2,0.95,0.0,0.0625
경상남도,김해시,함박로119번길,경상남도 김해시 외동 1294,가상형,0.0,0.0,35.2340623,128.8675777,N,Y,2,0.0,0.0,0.0
경상남도,창원시,삼풍로,경상남도 창원시 마산회원구 내서읍 삼계리 12,원호형,10.0,360.0,35.2340678018,128.5023854194,N,Y,8,0.0,0.0,0.0625
경상남도,김해시,대동로,경상남도 김해시 대동면 주중리 85-2,가상형,0.0,0.0,35.2341182,128.9474905,N,N,2,0.0,0.0,0.0
전라남도,담양군,전라남도 담양군 창평면 용수리 750,전라남도 담양군 창평면 용수리 750,원호형,10.0,360.0,35.23414035227374,127.02981266447972,N,N,3,0.0,0.0,0.0625
경상남도,김해시,내외로,경상남도 김해시 내동 1166,가상형,0.0,0.0,35.2341667,128.8697164,N,Y,2,0.0,0.0,0.0
경상남도,김해시,활천로36번길,경상남도 김해시 삼정동 240,원호형,11.0,360.0,35.2341987,128.899774,N,N,2,0.0,0.0,0.0688
경상남도,김해시,인제로65번길,경상남도 김해시 삼정동 666,원호형,10.0,360.0,35.2342389,128.9012303,N,N,2,0.0,0.0,0.0625
경상남도,김해시,인제로65번길,경상남도 김해시 삼정동 666,원호형,10.0,360.0,35.2342775,128.9017831,N,N,2,0.0,0.0,0.0625
경상남도,김해시,인제로65번길,경상남도 김해시 삼정동 673,가상형,0.0,0.0,35.2343124,128.9022865,N,N,2,0.0,0.0,0.0
경상남도,진주시,불너머길,경상남도 진주시 집현면 신당리 531-2번지,원호형,10.0,360.0,35.23437,128.11174,Y,Y,3,9.87,0.0,0.0625
전남광주통합특별시,영광군,녹산로,영광군 불갑면 녹산리 416,원호형,8.0,200.0,35.234428,126.509421,N,N,2,0.0,0.0,0.05
전남광주통합특별시,곡성군,오죽로,전남광주통합특별시 곡성군 오곡면 구성리 602,원호형,10.0,360.0,35.23445,127.28089,Y,N,2,2.13,0.0,0.0625
경상남도,창원시,삼풍로,경상남도 창원시 마산회원구 내서읍 삼계리 10-5,원호형,10.0,360.0,35.2344505329,128.5014653881,N,Y,2,8.53,0.0,0.0625
경상남도,김해시,가야의길,경상남도 김해시 봉황동 451-2,가상형,0.0,0.0,35.2345858,128.8726312,N,N,2,0.0,0.0,0.0
경상남도,김해시,분성로375번길,경상남도 김해시 동상동 655-3,가상형,0.0,0.0,35.2345898,128.8868773,N,N,2,0.95,0.0,0.0
경상남도,진주시,금산순환로,경상남도 진주시 금산면 가방리 278-9번지,원호형,10.0,360.0,35.23462,128.16214,Y,Y,3,5.13,0.0,0.0625
전남광주통합특별시,장성군,중로2류,전남광주통합특별시 장성군 남면 삼태리 895,원호형,10.0,360.0,35.234738,126.832396,Y,Y,2,0.0,0.0,0.0625
경상남도,김해시,분성로375번길,경상남도 김해시 동상동 663-1,원호형,10.0,360.0,35.2348283,128.8867482,N,N,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,중로2류,전남광주통합특별시 장성군 남면 삼태리 909,원호형,10.0,360.0,35.234851,126.839321,Y,Y,2,0.0,0.0,0.0625
경상남도,김해시,내외로,경상남도 김해시 내동 1166,가상형,0.0,0.0,35.2348721,128.8644466,N,Y,2,0.0,0.0,0.0
경상남도,진주시,불너머길,경상남도 진주시 집현면 냉정리 산338-4번지,원호형,10.0,360.0,35.2349,128.10351,Y,Y,3,23.93,0.0,0.0625
경상남도,김해시,내외로,경상남도 김해시 내동 1166,가상형,0.0,0.0,35.2349319,128.863929,N,Y,2,0.0,0.0,0.0
경상남도,하동군,옥단로,경상남도 하동군 옥종면 두양리 486-2,원호형,10.0,360.0,35.23498213,127.8849723,N,Y,4,0.0,0.0,0.0625
경상남도,김해시,서부로1541번길,경상남도 김해시 주촌면 내삼리 652-17,가상형,0.0,0.0,35.2349888,128.8214308,N,Y,2,0.0,0.0,0.0
전남광주통합특별시,곡성군,곡순로,전남광주통합특별시 곡성군 삼기면 원등리 280-1,가상형,0.0,0.0,35.23499,127.21143,N,N,2,0.95,0.0,0.0
경상남도,진주시,불너머길,경상남도 진주시 집현면 냉정리 871-4,원호형,10.0,360.0,35.235,128.103,N,N,3,9.32,0.0,0.0625
경상남도,김해시,기타,경상남도 김해시 봉황동 446-9,가상형,0.0,0.0,35.2350028,128.8745108,N,N,2,0.0,0.0,0.0
경상남도,김해시,분성로375번길,경상남도 김해시 동상동 600-2,가상형,0.0,0.0,35.2350057,128.8866425,N,N,2,0.0,0.0,0.0
전남광주통합특별시,장성군,소로1류,전남광주통합특별시 장성군 남면 삼태리 905,원호형,10.0,360.0,35.235014,126.832237,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,소로1류,전남광주통합특별시 장성군 남면 삼태리 905,원호형,10.0,360.0,35.235019,126.833176,Y,Y,2,0.0,0.0,0.0625
경상남도,김해시,내외로,경상남도 김해시 내동 1166,가상형,0.0,0.0,35.2350276,128.8629838,N,Y,2,0.0,0.0,0.0
경상남도,진주시,불너머길,경상남도 진주시 집현면 장흥리 595-3,원호형,10.0,360.0,35.23506,128.10558,Y,Y,3,5.71,0.0,0.0625
경상남도,김해시,진례로,경상남도 김해시 진례면 신안리 123-1,원호형,8.0,200.0,35.2350638,128.7550725,N,N,2,1.91,0.0,0.05
전남광주통합특별시,장성군,중로2류,전남광주통합특별시 장성군 남면 삼태리 895,원호형,10.0,360.0,35.235111,126.831638,Y,Y,2,0.0,0.0,0.0625
전남광주통합특별시,장성군,중로2류,전남광주통합특별시 장성군 남면 삼태리 909,원호형,10.0,360.0,35.235114,126.837667,Y,Y,2,0.0,0.0,0.0625
경상남도,김해시,대동로450번길,경상남도 김해시 대동면 예안리 76,원호형,8.0,200.0,35.2351233,128.9672522,N,N,2,0.0,0.0,0.05
경상남도,진주시,금산순환로,경상남도 진주시 금산면 가방리 242-3번지,원호형,10.0,360.0,35.23516,128.16173,Y,Y,3,0.0,0.0,0.0625
전남광주통합특별시,영광군,육창로,전남광주통합특별시 영광군 군남면 백양리 566-4,원호형,10.0,360.0,35.2352,126.4509,Y,N,2,0.0,0.0,0.0625
경상남도,김해시,호계로500번길,경상남도 김해시 동상동 784-2,원호형,11.0,360.0,35.2352229,128.8852855,N,N,2,0.0,0.0,0.0688
경상남도,김해시,대동로450번길,경상남도 김해시 대동면 주동리 12,원호형,7.0,200.0,35.2352246,128.9669773,N,N,2,0.0,0.0,0.0438
경상남도,김해시,고모로,경상남도 김해시 진례면 산본리 52-2,가상형,0.0,0.0,35.2352356,128.768647,N,N,2,2.13,0.0,0.0
